timestamp,asset_id,location,suction_pressure_psi,discharge_pressure_psi,compression_ratio,inlet_temp_f,discharge_temp_f,vibration_x_mms,vibration_y_mms,vibration_z_mms,lube_oil_pressure_psi,lube_oil_temperature_f,motor_current_amps,rpm,power_kw,runtime_hours_cumulative,alert_flag
2026-01-01 00:00:00,COMP-001,"Houston, TX",207.88,630.88,2.992,81.5,252.9,4.23,3.12,2.43,49.38,181.6,300.7,1198.0,368.1,18420.2,0
2026-01-01 00:00:00,COMP-002,"Midland, TX",207.08,642.88,3.089,82.2,252.9,4.21,3.13,2.36,50.46,183.1,303.5,1197.5,373.1,12305.2,0
2026-01-01 06:00:00,COMP-001,"Houston, TX",209.68,632.26,3.048,83.0,255.8,4.24,3.12,2.4,50.71,181.3,305.5,1202.4,369.3,18420.5,0
2026-01-01 06:00:00,COMP-002,"Midland, TX",208.66,643.93,3.059,81.0,252.9,4.17,3.06,2.38,49.4,180.8,306.2,1199.0,366.6,12305.5,0
2026-01-01 12:00:00,COMP-001,"Houston, TX",210.67,648.38,3.109,82.5,255.8,4.16,3.12,2.38,49.82,184.7,306.3,1200.4,370.0,18420.8,0
2026-01-01 12:00:00,COMP-002,"Midland, TX",211.48,634.8,2.998,81.0,253.6,4.17,3.07,2.43,50.56,181.0,306.4,1199.2,372.6,12305.8,0
2026-01-01 18:00:00,COMP-001,"Houston, TX",206.08,635.14,3.046,82.2,253.2,4.21,3.14,2.39,49.58,184.7,305.1,1197.0,363.0,18421.0,0
2026-01-01 18:00:00,COMP-002,"Midland, TX",211.03,645.61,3.063,81.9,251.7,4.19,3.15,2.4,50.71,184.0,300.5,1201.6,370.0,12306.0,0
2026-01-02 00:00:00,COMP-001,"Houston, TX",207.27,642.71,3.082,81.2,254.5,4.19,3.14,2.43,49.65,182.0,302.1,1203.0,372.1,18421.2,0
2026-01-02 00:00:00,COMP-002,"Midland, TX",212.98,642.09,3.045,81.3,257.0,4.2,3.13,2.4,49.25,181.0,300.6,1203.1,372.2,12306.2,0
2026-01-02 06:00:00,COMP-001,"Houston, TX",207.32,631.51,3.025,83.1,258.4,4.15,3.1,2.37,50.39,183.4,301.6,1199.8,368.6,18421.5,0
2026-01-02 06:00:00,COMP-002,"Midland, TX",210.6,638.52,3.007,81.5,255.3,4.23,3.07,2.39,50.74,182.8,304.4,1200.1,363.8,12306.5,0
2026-01-02 12:00:00,COMP-001,"Houston, TX",207.19,641.7,3.071,81.5,252.9,4.15,3.11,2.38,50.61,184.0,301.1,1198.1,369.9,18421.8,0
2026-01-02 12:00:00,COMP-002,"Midland, TX",208.76,648.36,3.122,82.4,254.8,4.24,3.13,2.38,49.4,181.6,304.3,1199.8,370.5,12306.8,0
2026-01-02 18:00:00,COMP-001,"Houston, TX",212.69,632.29,2.968,82.0,253.8,4.25,3.08,2.38,49.92,181.6,303.0,1198.2,372.7,18422.0,0
2026-01-02 18:00:00,COMP-002,"Midland, TX",209.47,640.97,3.019,81.1,258.8,4.24,3.14,2.43,50.52,180.2,304.9,1197.9,366.9,12307.0,0
2026-01-03 00:00:00,COMP-001,"Houston, TX",212.18,649.32,3.103,81.7,257.2,4.19,3.09,2.43,50.74,182.3,307.0,1197.5,365.8,18422.2,0
2026-01-03 00:00:00,COMP-002,"Midland, TX",211.61,640.81,3.044,82.9,251.6,4.21,3.1,2.43,49.49,184.5,301.2,1197.7,369.1,12307.2,0
2026-01-03 06:00:00,COMP-001,"Houston, TX",206.7,632.7,3.037,83.3,253.1,4.21,3.11,2.39,50.13,182.1,309.0,1197.9,370.4,18422.5,0
2026-01-03 06:00:00,COMP-002,"Midland, TX",212.06,643.3,3.073,81.8,253.6,4.23,3.06,2.4,50.75,184.7,301.1,1197.9,365.4,12307.5,0
2026-01-03 12:00:00,COMP-001,"Houston, TX",213.44,647.28,3.047,82.0,252.4,4.24,3.12,2.41,50.73,182.8,300.5,1202.3,365.8,18422.8,0
2026-01-03 12:00:00,COMP-002,"Midland, TX",215.36,632.98,2.975,81.4,252.0,4.21,3.08,2.41,50.33,180.4,306.2,1198.3,367.9,12307.8,0
2026-01-03 18:00:00,COMP-001,"Houston, TX",209.48,632.17,2.979,82.1,253.3,4.14,3.13,2.41,49.64,183.3,305.5,1199.5,362.6,18423.0,0
2026-01-03 18:00:00,COMP-002,"Midland, TX",210.56,647.76,3.05,82.4,257.6,4.21,3.07,2.37,49.71,184.2,307.7,1202.6,372.4,12308.0,0
2026-01-04 00:00:00,COMP-001,"Houston, TX",205.45,632.37,3.034,83.1,257.9,4.19,3.11,2.38,50.64,184.0,309.4,1202.2,372.2,18423.2,0
2026-01-04 00:00:00,COMP-002,"Midland, TX",213.5,636.78,3.011,83.5,257.3,4.25,3.13,2.38,50.43,179.9,308.4,1202.6,364.9,12308.2,0
2026-01-04 06:00:00,COMP-001,"Houston, TX",212.78,636.26,3.033,83.1,252.9,4.14,3.07,2.39,50.55,184.6,303.0,1201.0,366.9,18423.5,0
2026-01-04 06:00:00,COMP-002,"Midland, TX",210.3,648.43,3.084,81.5,258.6,4.16,3.14,2.38,49.41,181.6,307.1,1198.7,369.2,12308.5,0
